Time,Train accuracy,Test accuracy,Kendall's tau,General seed,A train seed,Model seed,D train seed,Learn seed,A test seed,Initial model seed,SA seed,N_tr,N_te,M,K_o,K_e,N_bc,Method,Model,Gamma,Non dictator,Lexicographic order,Profiles number,Max profiles number,T0,Alpha,L,Tf,Max time,Max iter,Max iter non improving,Seed,A train seed,Model seed,D train seed,Learn seed,A test seed
1.8756585121154785,1.0,0.22,-0.36514837167011077,0,2968811710,3677149159,745650761,2884920346,2642120001,2590541744,117660781,10,10,5,10,1,10,SA,RMP,None,None,None,None,None,1.0,0.99,1,0.001,None,None,None,0,None,None,None,None,None
5.212204217910767,1.0,0.88,0.8831913668924228,0,2968811710,3677149159,745650761,2884920346,2642120001,2590541744,117660781,10,10,3,10,3,10,SA,RMP,None,None,None,None,None,1.0,0.99,1,0.001,None,None,None,0,None,None,None,None,None
5.440980672836304,1.0,0.84,0.6741998624632421,0,2968811710,3677149159,745650761,2884920346,2642120001,2590541744,117660781,10,10,5,10,3,10,SA,RMP,None,None,None,None,None,1.0,0.99,1,0.001,None,None,None,0,None,None,None,None,None
6.155456066131592,1.0,0.72,0.6329238442281919,0,2968811710,3677149159,745650761,2884920346,2642120001,2590541744,117660781,20,20,3,10,2,20,SA,RMP,None,None,None,None,None,1.0,0.99,1,0.001,None,None,None,0,None,None,None,None,None
9.23970103263855,1.0,0.82,0.8421052631578948,0,2968811710,3677149159,745650761,2884920346,2642120001,2590541744,117660781,10,10,3,10,2,10,SA,RMP,None,None,None,None,None,1.0,0.99,1,0.001,None,None,None,0,None,None,None,None,None
8.40909481048584,1.0,0.6,0.1111111111111111,0,2968811710,3677149159,745650761,2884920346,2642120001,2590541744,117660781,10,10,7,10,3,10,SA,RMP,None,None,None,None,None,1.0,0.99,1,0.001,None,None,None,0,None,None,None,None,None
10.904637813568115,0.9,0.88,0.9176629354822471,0,2968811710,3677149159,745650761,2884920346,2642120001,2590541744,117660781,10,10,3,10,1,10,SA,RMP,None,None,None,None,None,1.0,0.99,1,0.001,None,None,None,0,None,None,None,None,None
11.615602493286133,1.0,0.68,0.579545525280815,0,2968811710,3677149159,745650761,2884920346,2642120001,2590541744,117660781,10,10,5,10,2,10,SA,RMP,None,None,None,None,None,1.0,0.99,1,0.001,None,None,None,0,None,None,None,None,None
13.016412258148193,1.0,0.84,0.6741998624632421,0,2968811710,3677149159,745650761,2884920346,2642120001,2590541744,117660781,10,10,7,10,2,10,SA,RMP,None,None,None,None,None,1.0,0.99,1,0.001,None,None,None,0,None,None,None,None,None
16.712711811065674,0.95,0.56,0.5746404442881132,0,2968811710,3677149159,745650761,2884920346,2642120001,2590541744,117660781,20,20,3,10,1,20,SA,RMP,None,None,None,None,None,1.0,0.99,1,0.001,None,None,None,0,None,None,None,None,None
16.441685676574707,1.0,0.58,0.2695786947677295,0,2968811710,3677149159,745650761,2884920346,2642120001,2590541744,117660781,10,10,7,10,1,10,SA,RMP,None,None,None,None,None,1.0,0.99,1,0.001,None,None,None,0,None,None,None,None,None
19.96186852455139,0.9,0.405,0.3406006047114781,0,2968811710,3677149159,745650761,2884920346,2642120001,2590541744,117660781,20,20,5,10,1,20,SA,RMP,None,None,None,None,None,1.0,0.99,1,0.001,None,None,None,0,None,None,None,None,None
24.544546365737915,0.9333333333333333,0.5688888888888889,0.4333302880701815,0,2968811710,3677149159,745650761,2884920346,2642120001,2590541744,117660781,30,30,3,10,1,30,SA,RMP,None,None,None,None,None,1.0,0.99,1,0.001,None,None,None,0,None,None,None,None,None
23.77666211128235,1.0,0.685,0.46738850262271203,0,2968811710,3677149159,745650761,2884920346,2642120001,2590541744,117660781,20,20,5,10,2,20,SA,RMP,None,None,None,None,None,1.0,0.99,1,0.001,None,None,None,0,None,None,None,None,None
28.219502210617065,0.8333333333333334,0.6066666666666667,0.40658406649228596,0,2968811710,3677149159,745650761,2884920346,2642120001,2590541744,117660781,30,30,5,10,1,30,SA,RMP,None,None,None,None,None,1.0,0.99,1,0.001,None,None,None,0,None,None,None,None,None
32.3801486492157,0.8,0.39125,0.25611790742662854,0,2968811710,3677149159,745650761,2884920346,2642120001,2590541744,117660781,40,40,3,10,1,40,SA,RMP,None,None,None,None,None,1.0,0.99,1,0.001,None,None,None,0,None,None,None,None,None
32.45029950141907,1.0,0.695,0.4306986823912399,0,2968811710,3677149159,745650761,2884920346,2642120001,2590541744,117660781,20,20,3,10,3,20,SA,RMP,None,None,None,None,None,1.0,0.99,1,0.001,None,None,None,0,None,None,None,None,None
39.00744438171387,0.9,0.565,0.42767317094345875,0,2968811710,3677149159,745650761,2884920346,2642120001,2590541744,117660781,20,20,7,10,1,20,SA,RMP,None,None,None,None,None,1.0,0.99,1,0.001,None,None,None,0,None,None,None,None,None
39.88150715827942,0.8,0.6775,0.4740080565826075,0,2968811710,3677149159,745650761,2884920346,2642120001,2590541744,117660781,40,40,5,10,1,40,SA,RMP,None,None,None,None,None,1.0,0.99,1,0.001,None,None,None,0,None,None,None,None,None
43.312175989151,0.9333333333333333,0.7777777777777778,0.6089232013845565,0,2968811710,3677149159,745650761,2884920346,2642120001,2590541744,117660781,30,30,3,10,2,30,SA,RMP,None,None,None,None,None,1.0,0.99,1,0.001,None,None,None,0,None,None,None,None,None
45.80124878883362,0.95,0.765,0.5802036568706244,0,2968811710,3677149159,745650761,2884920346,2642120001,2590541744,117660781,20,20,5,10,3,20,SA,RMP,None,None,None,None,None,1.0,0.99,1,0.001,None,None,None,0,None,None,None,None,None
